"geometry_text","geometry","path_id","image_point_id","order_id","safety_avg","attractiveness_avg","business_avg","safety_stddev","attractiveness_stddev","safety_attr_diff","safety_max_diff","attr_max_diff","attractiveness_reason","safety_reason","rating_count","male_ratings","female_ratings","male_safety_avg","female_safety_avg","age_19_39_safety_avg","age_40_59_safety_avg","age_60_plus_safety_avg","age_19_39_safety_count","age_40_59_safety_count","age_60_plus_safety_count"
"POINT(954109.143 6460965.887)","0101000020110F0000C74B3749FA1D2D41A69BC47889A55841",1,1492,17,3.3,2.8,1.67,0.87,0.83,0.55,2,3,"very blockish, almost like cells, nothing attractive here|vista in the distance; greenery; trees;","wide pavements; open; overlooked; street lamps;",9,2,6,3.50,3.17,3.25,3.25,NULL,4,4,0
"POINT(954108.532 6460996.644)","0101000020110F0000D34D6210F91D2D41C74B372991A55841",1,1491,18,3.3,2.8,2.00,0.96,0.96,0.50,2,2,"some greenery and nice houses but ugly flats|old buildings. |dislike the flat buildings|lot of shadows","ok area and lots of visibility|gut feeling; not a lot of light|Big pavement ; street lights|I don't feel confortable with buidings",4,2,2,2.50,4.00,4.00,3.00,NULL,1,3,0
"POINT(954095.805 6461022.922)","0101000020110F0000C3F5289CDF1D2D414A0C02BB97A55841",1,1490,19,4.3,4.0,2.00,0.58,0.00,0.33,1,0,NULL,"spacious; well maintained",3,2,1,4.50,4.00,NULL,4.33,NULL,0,3,0
"POINT(954065.195 6461024.92)","0101000020110F00003D0AD763A21D2D41AE47E13A98A55841",1,1489,20,4.0,3.9,2.50,0.53,0.64,0.12,2,2,"A lot of houses so perfect place for a business|gardens; greenery;|very nice neighbourhood|garages dont look great|More trees|some greenery but ugly flats","Not very busy and a family neigbourhood|Low-density; wide road; low traffic|nothing changed my mind here - still looks safe and welcoming|residential|More nature|ok area and lots of visibility",8,6,2,4.00,4.00,4.00,4.00,NULL,5,3,0
"POINT(954105.769 6460935.453)","0101000020110F0000355EBA89F31D2D41B6F3FDDC81A55841",1,1493,16,3.7,2.8,2.67,0.52,0.41,0.84,1,1,"less space|some greenery and ok houses but flats are ugly","buildings...|ok area and lots of visibility",6,3,3,3.33,4.00,3.75,3.50,NULL,4,2,0
"POINT(954034.114 6461023.872)","0101000020110F00003F355E3A641D2D4117D9CEF797A55841",1,1488,21,4.0,3.5,2.50,0.63,0.84,0.50,2,2,"not bad few trees but no character here dull|trees; open space; mid-rise buildings;","houses|looks ok but a few shady areas that would make me nervous|sightlines; pavements; clean; tidy",6,3,3,4.00,4.00,4.50,3.75,NULL,2,4,0
"POINT(954003.009 6461022.151)","0101000020110F0000E3A59B04261D2D41E7FBA98997A55841",1,1487,22,3.8,3.3,2.67,0.75,0.52,0.50,2,1,"grenness|colours; greenery; residential|doesnt look nice|buildings are not so attractive|greenery is nice, but lower value houses and graffiti brings it down","clean residential area; open|residential; hotel; greenery|a lot of houses|Too much people|lower standard housing so more likely to be rougher people",6,2,3,4.00,3.67,4.50,3.33,NULL,2,3,0
"POINT(953971.89 6461021.721)","0101000020110F00007B14AEC7E71C2D412FDD246E97A55841",1,1486,23,3.5,3.1,2.90,0.71,1.10,0.40,2,3,"residental; green|tress; space; looks nice|old; similar; gray; |A bit older-looking buildings","residential; thoroughfare|populated; pavement|Well-maintained roads, quiet neighborhood ",10,4,6,3.25,3.67,3.75,3.33,NULL,4,6,0
"POINT(953940.666 6461022.587)","0101000020110F0000B6F3FD54A91C2D41736891A597A55841",1,1485,24,3.8,3.4,3.00,0.45,0.55,0.40,1,1,"lots of greenery|I don't like those buikdings. |more shabby and run down|Nice looking","decent area and lots of visibility|To much windows|roads|a lot of houses",5,2,3,3.50,4.00,4.00,3.50,NULL,3,2,0
"POINT(953915.73 6461034.96)","0101000020110F00005C8FC275771C2D41D7A370BD9AA55841",1,1484,25,3.6,3.0,2.14,0.98,0.58,0.57,3,2,"hotel location|isolated|greeness|greenery","isolated|alone|openess|spacious; no graffiti",7,3,3,4.00,3.00,3.00,4.00,NULL,3,3,0
